,Acción,Evento,Tiempo,Inicio,Fin,Jugadores,Evento ,Resultado,Acercar,Alejar,Situacion,Duración,Jornada,Local,Visitante,Tipo_de_Accion
184,MT Ofensivo,MT OFENSIVO 037,4524,4514,4529,16,Puerta Atras,Negativo,,,,,16,Ferro,Boca Jrs,
185,MT Ofensivo,MT OFENSIVO 038,4603,4593,4613,1,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
186,MT Ofensivo,MT OFENSIVO 038,4603,4593,4613,4,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
187,MT Ofensivo,MT OFENSIVO 038,4603,4593,4613,7,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
188,MT Ofensivo,MT OFENSIVO 038,4603,4593,4613,10,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
189,MT Ofensivo,MT OFENSIVO 038,4603,4593,4613,16,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
190,MT Ofensivo,MT OFENSIVO 039,4645,4635,4650,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
191,MT Ofensivo,MT OFENSIVO 039,4645,4635,4650,4,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
192,MT Ofensivo,MT OFENSIVO 039,4645,4635,4650,7,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
193,MT Ofensivo,MT OFENSIVO 039,4645,4635,4650,10,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
194,MT Ofensivo,MT OFENSIVO 039,4645,4635,4650,16,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
195,MT Ofensivo,MT OFENSIVO 040,5012,5002,5024,1,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
196,MT Ofensivo,MT OFENSIVO 040,5012,5002,5024,5,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
197,MT Ofensivo,MT OFENSIVO 040,5012,5002,5024,9,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
198,MT Ofensivo,MT OFENSIVO 040,5012,5002,5024,10,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
199,MT Ofensivo,MT OFENSIVO 040,5012,5002,5024,14,Pared,Negativo,,,,,16,Ferro,Boca Jrs,
200,MT Ofensivo,MT OFENSIVO 041,5091,5081,5100,1,Salto Linea,Positivo,,,,,16,Ferro,Boca Jrs,
201,MT Ofensivo,MT OFENSIVO 041,5091,5081,5100,5,Salto Linea,Positivo,,,,,16,Ferro,Boca Jrs,
202,MT Ofensivo,MT OFENSIVO 041,5091,5081,5100,9,Salto Linea,Positivo,,,,,16,Ferro,Boca Jrs,
